# ----------------------------------------
# 所有網站資料
# 總覽
# 20141224-20151227
# ----------------------------------------

裝置類別,工作階段,% 新工作階段,新使用者,跳出率,單次工作階段頁數,平均工作階段時間長度,目標轉換率,目標達成,目標價值
desktop,"15,826",70.04%,"11,085",47.33%,8.42,00:03:57,0.00%,0,US$0.00
mobile,"3,907",71.56%,"2,796",44.43%,8.71,00:02:43,0.00%,0,US$0.00
tablet,322,80.12%,258,50.31%,6.52,00:02:09,0.00%,0,US$0.00
,"20,055",70.50%,"14,139",46.82%,8.45,00:03:41,0.00%,0,US$0.00

日索引,工作階段
2015/11/11,50
2015/11/12,49
2015/11/13,38
2015/11/14,24
2015/11/15,34
2015/11/16,39
2015/11/17,45
2015/11/18,86
2015/11/19,66
2015/11/20,25
2015/11/21,64
2015/11/22,46
2015/11/23,64
2015/11/24,42
2015/11/25,70
2015/11/26,63
2015/11/27,66
2015/11/28,57
2015/11/29,51
2015/11/30,86
2015/12/1,32
2015/12/2,28
2015/12/3,33
2015/12/4,29
2015/12/5,9
2015/12/6,29
2015/12/7,28
2015/12/8,35
2015/12/9,30
2015/12/10,32
2015/12/11,33
2015/12/12,28
2015/12/13,20
2015/12/14,32
2015/12/15,28
2015/12/16,26
2015/12/17,24
2015/12/18,30
2015/12/19,17
2015/12/20,27
2015/12/21,38
2015/12/22,32
2015/12/23,87
2015/12/24,40
2015/12/25,24
2015/12/26,18
2015/12/27,19
,"20,055"

