# ----------------------------------------
# 所有網站資料
# 目標對象總覽
# 20141224-20151227
# ----------------------------------------

小時索引,瀏覽量
000000,0
000001,0
000002,0
000003,0
000004,0
000005,0
000006,0
000007,0
000008,0
000009,0
000010,0
000011,0
000012,0
000013,0
000014,0
000015,0
000016,0
000017,0
000018,0
000019,0
000020,0
000021,0
000022,0
000023,0
000024,0
000025,0
000026,0
000027,0
000028,0
000029,0
000030,0
000031,0
000032,0
000033,0
000034,0
000035,0
000036,0
000037,0
000038,0
000039,0
000040,0
000041,0
000042,0
000043,0
000044,0
000045,0
000046,0
000047,0
000048,0
000049,0
000050,0
000051,0
000052,0
000053,0
000054,0
000055,0
000056,0
000057,0
000058,0
000059,0
000060,0
000061,0
000062,0
000063,0
000064,0
000065,0
000066,0
000067,0
000068,0
000069,0
000070,0
000071,0
000072,0
000073,0
000074,0
000075,0
000076,0
000077,0
000078,0
000079,0
000080,0
000081,0
000082,0
000083,0
000084,0
000085,0
000086,0
000087,0
000088,0
000089,0
000090,0
000091,0
000092,0
000093,0
000094,0
000095,0
000096,0
000097,0
000098,0
000099,0
000100,0
000101,0
000102,0
000103,0
000104,0
000105,0
000106,0
000107,0
000108,0
000109,0
000110,0
000111,0
000112,0
000113,0
000114,0
000115,0
000116,0
000117,0
000118,0
000119,0
000120,0
000121,0
000122,0
000123,0
000124,0
000125,0
000126,0
000127,0
000128,0
000129,0
000130,0
000131,0
000132,0
000133,0
000134,0
000135,0
000136,0
000137,0
000138,0
000139,0
000140,0
000141,0
000142,0
000143,0
000144,0
000145,0
000146,0
000147,0
000148,0
000149,0
000150,0
000151,0
000152,0
000153,0
000154,0
000155,0
000156,0
000157,0
000158,0
000159,0
000160,0
000161,0
000162,0
000163,0
000164,0
000165,0
000166,0
000167,0
000168,0
000169,0
000170,0
000171,0
000172,0
000173,0
000174,0
000175,0
000176,0
000177,0
000178,0
000179,0
000180,0
000181,0
000182,0
000183,0
000184,0
000185,0
000186,0
000187,0
000188,0
000189,0
000190,0
000191,0
000192,0
000193,0
000194,0
000195,0
000196,0
000197,0
000198,0
000199,0
000200,0
000201,0
000202,0
000203,0
000204,0
000205,0
000206,0
000207,0
000208,0
000209,0
000210,0
000211,0
000212,0
000213,0
000214,0
000215,0
000216,0
000217,0
000218,0
000219,0
000220,0
000221,0
000222,0
000223,0
000224,0
000225,0
000226,0
000227,0
000228,0
000229,0
000230,0
000231,0
000232,0
000233,0
000234,0
000235,0
000236,0
000237,0
000238,0
000239,0
000240,0
000241,0
000242,0
000243,0
000244,0
000245,0
000246,0
000247,0
000248,0
000249,0
000250,0
000251,0
000252,0
000253,0
000254,0
000255,0
000256,0
000257,0
000258,0
000259,0
000260,0
000261,0
000262,0
000263,0
000264,0
000265,0
000266,0
000267,0
000268,0
000269,0
000270,0
000271,0
000272,0
000273,0
000274,0
000275,0
000276,0
000277,0
000278,0
000279,0
000280,0
000281,0
000282,0
000283,0
000284,0
000285,0
000286,0
000287,0
000288,0
000289,0
000290,0
000291,0
000292,0
000293,0
000294,0
000295,0
000296,0
000297,0
000298,0
000299,0
000300,0
000301,0
000302,0
000303,0
000304,0
000305,0
000306,0
000307,0
000308,0
000309,0
000310,0
000311,0
000312,0
000313,0
000314,0
000315,0
000316,0
000317,0
000318,0
000319,0
000320,0
000321,0
000322,0
000323,0
000324,0
000325,0
000326,0
000327,0
000328,0
000329,0
000330,0
000331,0
000332,0
000333,0
000334,0
000335,0
000336,0
000337,0
000338,0
000339,0
000340,0
000341,0
000342,0
000343,0
000344,0
000345,0
000346,0
000347,0
000348,0
000349,0
000350,0
000351,0
000352,0
000353,0
000354,0
000355,0
000356,0
000357,0
000358,0
000359,0
000360,0
000361,0
000362,0
000363,0
000364,0
000365,0
000366,0
000367,0
000368,0
000369,0
000370,0
000371,0
000372,0
000373,0
000374,0
000375,0
000376,0
000377,0
000378,0
000379,0
000380,0
000381,0
000382,0
000383,0
000384,0
000385,0
000386,0
000387,0
000388,0
000389,0
000390,0
000391,0
000392,0
000393,0
000394,0
000395,0
000396,0
000397,0
000398,0
000399,0
000400,0
000401,0
000402,0
000403,0
000404,0
000405,0
000406,0
000407,0
000408,0
000409,0
000410,0
000411,0
000412,0
000413,0
000414,0
000415,0
000416,0
000417,0
000418,0
000419,0
000420,0
000421,0
000422,0
000423,0
000424,0
000425,0
000426,0
000427,0
000428,0
000429,0
000430,0
000431,0
000432,0
000433,0
000434,0
000435,0
000436,0
000437,0
000438,0
000439,0
000440,0
000441,0
000442,0
000443,0
000444,0
000445,0
000446,0
000447,0
000448,0
000449,0
000450,0
000451,0
000452,0
000453,0
000454,0
000455,0
000456,0
000457,0
000458,0
000459,0
000460,0
000461,0
000462,0
000463,0
000464,0
000465,0
000466,0
000467,0
000468,0
000469,0
000470,0
000471,0
000472,0
000473,0
000474,0
000475,0
000476,0
000477,0
000478,0
000479,0
000480,0
000481,0
000482,0
000483,0
000484,0
000485,0
000486,0
000487,0
000488,0
000489,0
000490,0
000491,0
000492,0
000493,0
000494,0
000495,0
000496,0
000497,0
000498,0
000499,0
000500,0
000501,0
000502,0
000503,0
000504,0
000505,0
000506,0
000507,0
000508,0
000509,0
000510,0
000511,0
000512,0
000513,0
000514,0
000515,0
000516,0
000517,0
000518,0
000519,0
000520,0
000521,0
000522,0
000523,0
000524,0
000525,0
000526,0
000527,0
000528,0
000529,0
000530,0
000531,0
000532,0
000533,0
000534,0
000535,0
000536,0
000537,0
000538,0
000539,0
000540,0
000541,0
000542,0
000543,0
000544,0
000545,0
000546,0
000547,0
000548,0
000549,0
000550,0
000551,0
000552,0
000553,0
000554,0
000555,0
000556,0
000557,0
000558,0
000559,0
000560,0
000561,0
000562,0
000563,0
000564,0
000565,0
000566,0
000567,0
000568,0
000569,0
000570,0
000571,0
000572,0
000573,0
000574,0
000575,0
000576,0
000577,0
000578,0
000579,0
000580,0
000581,0
000582,0
000583,0
000584,0
000585,0
000586,0
000587,0
000588,0
000589,0
000590,0
000591,0
000592,0
000593,0
000594,0
000595,0
000596,0
000597,0
000598,0
000599,0
000600,0
000601,0
000602,0
000603,0
000604,0
000605,0
000606,0
000607,0
000608,0
000609,0
000610,0
000611,0
000612,0
000613,0
000614,0
000615,0
000616,0
000617,0
000618,0
000619,0
000620,0
000621,0
000622,0
000623,0
000624,0
000625,0
000626,0
000627,0
000628,0
000629,0
000630,0
000631,0
000632,0
000633,0
000634,0
000635,0
000636,0
000637,0
000638,0
000639,0
000640,0
000641,0
000642,0
000643,0
000644,0
000645,0
000646,0
000647,0
000648,0
000649,0
000650,0
000651,0
000652,0
000653,0
000654,0
000655,0
000656,0
000657,0
000658,0
000659,0
000660,0
000661,0
000662,0
000663,0
000664,0
000665,0
000666,0
000667,0
000668,0
000669,0
000670,0
000671,0
000672,0
000673,0
000674,0
000675,0
000676,0
000677,0
000678,0
000679,0
000680,0
000681,0
000682,0
000683,0
000684,0
000685,0
000686,0
000687,0
000688,0
000689,0
000690,0
000691,0
000692,0
000693,0
000694,0
000695,0
000696,0
000697,0
000698,0
000699,0
000700,0
000701,0
000702,0
000703,0
000704,0
000705,0
000706,0
000707,0
000708,0
000709,0
000710,0
000711,0
000712,0
000713,0
000714,0
000715,0
000716,0
000717,0
000718,0
000719,0
000720,0
000721,0
000722,0
000723,0
000724,0
000725,0
000726,0
000727,0
000728,0
000729,0
000730,0
000731,0
000732,0
000733,0
000734,0
000735,0
000736,0
000737,0
000738,0
000739,0
000740,0
000741,0
000742,0
000743,0
000744,0
000745,0
000746,0
000747,0
000748,0
000749,0
000750,0
000751,0
000752,0
000753,0
000754,0
000755,0
000756,0
000757,0
000758,0
000759,0
000760,0
000761,0
000762,0
000763,0
000764,0
000765,0
000766,0
000767,0
000768,0
000769,190
000770,188
000771,14
000772,2
000773,1
000774,124
000775,7
000776,111
000777,180
000778,144
000779,180
000780,291
000781,307
000782,633
000783,352
000784,210
000785,459
000786,740
000787,591
000788,609
000789,"1,860"
000790,"2,579"
000791,"2,079"
000792,"1,595"
000793,712
000794,345
000795,240
000796,35
000797,0
000798,150
000799,781
000800,587
000801,499
000802,"1,006"
000803,491
000804,751
000805,232
000806,538
000807,355
000808,272
000809,236
000810,333
000811,120
000812,210
000813,314
000814,137
000815,138
000816,274
000817,241
000818,42
000819,15
000820,0
000821,0
000822,3
000823,2
000824,90
000825,54
000826,120
000827,890
000828,541
000829,359
000830,93
000831,172
000832,205
000833,217
000834,111
000835,67
000836,375
000837,357
000838,182
000839,149
000840,446
000841,93
000842,98
000843,128
000844,1
000845,0
000846,2
000847,35
000848,92
000849,300
000850,100
000851,232
000852,506
000853,273
000854,207
000855,219
000856,96
000857,158
000858,150
000859,154
000860,200
000861,206
000862,97
000863,49
000864,190
000865,29
000866,2
000867,10
000868,44
000869,12
000870,4
000871,42
000872,123
000873,123
000874,95
000875,262
000876,129
000877,95
000878,106
000879,253
000880,261
000881,218
000882,113
000883,227
000884,264
000885,382
000886,102
000887,56
000888,5
000889,8
000890,3
000891,0
000892,1
000893,0
000894,0
000895,1
000896,0
000897,1
000898,8
000899,100
000900,30
000901,0
000902,4
000903,44
000904,47
000905,13
000906,18
000907,84
000908,197
000909,241
000910,201
000911,259
000912,77
000913,35
000914,219
000915,0
000916,2
000917,0
000918,0
000919,30
000920,23
000921,30
000922,5
000923,63
000924,0
000925,43
000926,267
000927,0
000928,38
000929,68
000930,15
000931,75
000932,153
000933,56
000934,63
000935,80
000936,15
000937,86
000938,11
000939,0
000940,6
000941,0
000942,30
000943,0
000944,1
000945,20
000946,0
000947,6
000948,17
000949,4
000950,7
000951,14
000952,57
000953,145
000954,11
000955,1
000956,33
000957,40
000958,3
000959,59
000960,23
000961,23
000962,0
000963,0
000964,1
000965,0
000966,0
000967,0
000968,0
000969,0
000970,2
000971,0
000972,12
000973,1
000974,0
000975,131
000976,117
000977,4
000978,14
000979,2
000980,29
000981,2
000982,2
000983,173
000984,1
000985,26
000986,2
000987,0
000988,1
000989,1
000990,0
000991,1
000992,1
000993,32
000994,2
000995,41
000996,21
000997,15
000998,25
000999,2
001000,53
001001,1
001002,1
001003,1
001004,8
001005,0
001006,3
001007,33
001008,16
001009,0
001010,0
001011,1
001012,1
001013,0
001014,0
001015,0
001016,13
001017,24
001018,52
001019,31
001020,20
001021,8
001022,23
001023,33
001024,28
001025,154
001026,148
001027,59
001028,106
001029,109
001030,182
001031,469
001032,227
001033,233
001034,20
001035,0
001036,0
001037,0
001038,0
001039,69
001040,46
001041,145
001042,283
001043,499
001044,208
001045,297
001046,91
001047,126
001048,186
001049,90
001050,100
001051,78
001052,93
001053,119
001054,87
001055,88
001056,108
001057,67
001058,0
001059,0
001060,0
001061,7
001062,0
001063,9
001064,15
001065,3
001066,4
001067,20
001068,18
001069,45
001070,90
001071,23
001072,12
001073,16
001074,32
001075,73
001076,121
001077,25
001078,2
001079,204
001080,1
001081,0
001082,0
001083,0
001084,0
001085,0
001086,0
001087,0
001088,0
001089,15
001090,15
001091,16
001092,15
001093,182
001094,70
001095,37
001096,144
001097,58
001098,2
001099,56
001100,30
001101,15
001102,8
001103,0
001104,10
001105,74
001106,5
001107,0
001108,0
001109,0
001110,0
001111,0
001112,0
001113,0
001114,15
001115,6
001116,17
001117,24
001118,1
001119,3
001120,2
001121,0
001122,1
001123,1
001124,0
001125,0
001126,0
001127,53
001128,9
001129,1
001130,0
001131,2
001132,0
001133,1
001134,0
001135,0
001136,0
001137,0
001138,0
001139,12
001140,15
001141,0
001142,2
001143,0
001144,79
001145,1
001146,0
001147,19
001148,0
001149,20
001150,0
001151,1
001152,0
001153,4
001154,0
001155,0
001156,0
001157,0
001158,9
001159,0
001160,0
001161,0
001162,109
001163,0
001164,0
001165,1
001166,4
001167,7
001168,28
001169,40
001170,2
001171,2
001172,4
001173,45
001174,4
001175,19
001176,0
001177,0
001178,23
001179,0
001180,0
001181,0
001182,0
